periodo,receita,n_recorrente,ebitda,ebit,lucro,divida_liquida,caixa_operac,pl,proventos,cfo,cfi,cff,provisao_cred,roe,roc,margem_liquida,endividamento,divida_ebit,p_b,p_l,p_ebit
20243T,211434.0,257053.0,413218.0,409246.0,317578.0,1549957.0,145854.0,3734361.0,70000.0,135385.0,242976.0,-411252.0,807.0,0.08504212635039837,0.0714171535470721,1.5020195427414702,0.41505280287577984,3.7873479520874973,0.553,7.7822,5.9718
20242T,202962.0,202193.0,354604.0,350632.0,269061.0,1833156.0,154213.0,3786683.0,70000.0,135292.0,-10048.0,-369330.0,745.0,0.07105453506406531,0.058376038906260065,1.3256718006326307,0.48410601045822954,5.228148029843254,0.6222,10.5934,8.3495
20241T,206985.0,127471.0,284582.0,280610.0,221172.0,1769208.0,173738.0,3765430.0,70000.0,110529.0,52165.0,-131340.0,794.0,0.058737514706155736,0.04772034628839578,1.0685411986375823,0.4698555012309351,6.304864402551584,0.6205,13.7688,7.8178
20234T,220156.0,92433.0,265079.0,261107.0,194960.0,1501222.0,175588.0,3732221.0,91692.0,157230.0,266429.0,-324877.0,721.0,0.052236992396752495,0.046873196413174625,0.885553879976017,0.4022328795642059,5.749451374340787,0.6168,13.6859,7.7707
20233T,235497.0,108024.0,294797.0,293150.0,166448.0,1408699.0,182504.0,3693297.0,91692.0,127784.0,478265.0,-441266.0,1010.0,0.04506759136890426,0.05389972756873158,0.7067945663851344,0.3814204489917816,4.805386320996077,0.5579,8.8596,5.8619
20232T,246566.0,146929.0,348666.0,347019.0,229605.0,1588604.0,184592.0,3645893.0,91692.0,167013.0,173881.0,40200.0,1606.0,0.06297634077577154,0.06187356446034407,0.9312111158878353,0.4357242519185286,4.577858849227276,0.6325,7.8565,5.5044
20231T,243450.0,223462.0,426207.0,424560.0,297454.0,1576864.0,200656.0,3694715.0,91692.0,197790.0,-124277.0,72059.0,1321.0,0.08050796881491536,0.07465756014183811,1.2218278907373177,0.4267890757473851,3.7141134350857357,0.4246,3.5583,3.1471
20224T,217230.0,322118.0,499859.0,498212.0,400700.0,1476351.0,178347.0,3663838.0,87627.0,128772.0,-241969.0,203366.0,1134.0,0.10936618922561532,0.08969483068123041,1.8445886848041246,0.40295204100181287,2.9632987563527173,0.4369,3.6607,3.2377
20223T,192933.0,346440.0,502757.0,501925.0,443926.0,1565041.0,147008.0,3719905.0,87627.0,122838.0,-431575.0,216750.0,639.0,0.11933799384661706,0.09013057418342876,2.3009334846812104,0.4207206904477399,3.118077402002291,0.6894,5.845,5.3312
20222T,170756.0,336661.0,468847.0,468015.0,426874.0,1456685.0,128016.0,3619382.0,87627.0,81090.0,-749826.0,396111.0,316.0,0.11794112917619638,0.0883823266694943,2.499906299046593,0.40246787987562516,3.112475027509802,0.5277,4.6814,4.6366
